LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,49971.131456129
AUT,Austria,7.1,45276.8314351693
BEL,Belgium,6.9,41984.1030335609
CAN,Canada,7.4,42315.6037056806
CZE,Czech Republic,6.7,18575.2320271915
DNK,Denmark,7.6,54663.9983719195
FIN,Finland,7.6,43784.2839622098
FRA,France,6.5,37037.3741861219
DEU,Germany,7,42107.5172703074
GRC,Greece,5.4,17885.3928086126
HUN,Hungary,5.6,13090.5067287853
ISL,Iceland,7.5,61987.9263620283
IRL,Ireland,7,62993.7450967453
ITA,Italy,6,30939.7142462298
JPN,Japan,5.9,38761.8181501925
KOR,Korea,5.9,29288.8704389833
LUX,Luxembourg,6.9,104278.390971905
MEX,Mexico,6.5,8744.51555912786
NLD,Netherlands,7.4,46007.8529206547
NZL,New Zealand,7.3,40080.4941137172
NOR,Norway,7.6,70460.5605323322
POL,Poland,6.1,12447.4395912808
PRT,Portugal,5.4,19978.401214968
SVK,Slovak Republic,6.2,16508.6703604932
ESP,Spain,6.3,26505.3432155204
SWE,Sweden,7.3,51965.1571531985
CHE,Switzerland,7.5,83073.2800824812
TUR,Turkey,5.5,10894.6033779275
GBR,United Kingdom,6.8,41048.3496572292
USA,United States,6.9,58021.4004997125
BRA,Brazil,6.4,8710.09677403838
CHL,Chile,6.5,13753.592148512
EST,Estonia,5.7,18437.2528207173
ISR,Israel,7.2,37282.5305590856
LVA,Latvia,5.9,14315.7928949778
RUS,Russia,5.8,8704.89841329594
SVN,Slovenia,5.9,21663.643413767
ZAF,South Africa,4.7,5272.5436481983
