"","Queens County","Fri","Mon","Sat","Sun","Thu","Tue","Wed","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","day_index","day_of_year","year","temp","dewp","slp","visib","wdsp","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"515",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,150,150,2013,44.4,39.7,1008.2,8.2,12.9,33,53.6,39,1.44,0,1,0.570175438596491
"12176",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2342,151,2019,62.1,58.3,1003.1,7.4,20.3,44.1,68,54,0,0,0,0.566523605150215
"2095",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,639,274,2014,41.4,36.5,1015.1,7.1,11,28.9,51.8,33.8,0.44,0,1,0.728155339805825
"5481",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1107,12,2016,44.4,29.4,1010.4,10,15.5,33,52,34,0,0,0,0.438818565400844
"2551",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,730,365,2014,56.7,51.1,1015.3,9.6,10.3,19,63,51.1,0,0,0,0.436893203883495
"2268",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,447,82,2014,37.8,35.3,1005.3,6.1,21.3,38.1,39.9,36,0.29,0,0,0.66504854368932
"7054",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1217,122,2016,51.3,36.2,1017.2,10,14.2,28,57,37.9,0,0,0,0.540084388185654
"9375",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2090,264,2018,43.1,38.6,1033.5,8.3,13.8,22.9,48.9,35.1,0.03,0,1,0.45374449339207
"10067",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2055,229,2018,68.3,65.1,1012.8,9.3,8.9,999.9,73.9,63,0,0,0,0.634361233480176
"619",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,254,254,2013,47.8,38.7,1026.5,10,13.7,31.1,54,43,0,0,0,0.495614035087719
